,index,days_cancel,severe_toxicity,group
69,69,-114.0,0.12651331665303334,kpop
70,70,-113.0,0.12071058231722243,kpop
71,71,-112.0,0.11749673956596748,kpop
72,72,-111.0,0.12204539560881443,kpop
73,73,-110.0,0.12638472589419972,kpop
74,74,-109.0,0.12985418958950962,kpop
75,75,-108.0,0.13209229827445998,kpop
76,76,-107.0,0.1360930732051023,kpop
77,77,-106.0,0.13879889576843646,kpop
78,78,-105.0,0.1351693553914737,kpop
79,79,-104.0,0.131017154983888,kpop
80,80,-103.0,0.13053657152007914,kpop
81,81,-102.0,0.12811990511438076,kpop
82,82,-101.0,0.13039050730796276,kpop
83,83,-100.0,0.12909547993013445,kpop
84,84,-99.0,0.13181525399533572,kpop
85,85,-98.0,0.1341462020112011,kpop
86,86,-97.0,0.1355002519103158,kpop
87,87,-96.0,0.13503921526512114,kpop
88,88,-95.0,0.13271794195098185,kpop
89,89,-94.0,0.1307978530767183,kpop
90,90,-93.0,0.13028266847799896,kpop
91,91,-92.0,0.12613967471090326,kpop
92,92,-91.0,0.13012287915146428,kpop
93,93,-90.0,0.13045069977228746,kpop
94,94,-89.0,0.13094280709739958,kpop
95,95,-88.0,0.13094286856119153,kpop
96,96,-87.0,0.13036337032999223,kpop
97,97,-86.0,0.133599264294756,kpop
98,98,-85.0,0.13620637180389128,kpop
99,99,-84.0,0.13672289651034303,kpop
100,100,-83.0,0.13761156096848376,kpop
101,101,-82.0,0.13661024133068617,kpop
102,102,-81.0,0.14181381426985562,kpop
103,103,-80.0,0.14026667515575875,kpop
104,104,-79.0,0.1359594210990603,kpop
105,105,-78.0,0.1346403533871145,kpop
106,106,-77.0,0.13306355257629515,kpop
107,107,-76.0,0.13750191697165642,kpop
108,108,-75.0,0.13378189644012672,kpop
109,109,-74.0,0.13097298627683596,kpop
110,110,-73.0,0.12696842356096177,kpop
111,111,-72.0,0.12322777312483246,kpop
112,112,-71.0,0.12413569119536583,kpop
113,113,-70.0,0.12068291455837205,kpop
114,114,-69.0,0.11431922911601558,kpop
115,115,-68.0,0.11849625406538937,kpop
116,116,-67.0,0.1172162647362668,kpop
117,117,-66.0,0.1231094948223728,kpop
118,118,-65.0,0.13015620364924577,kpop
119,119,-64.0,0.1317548750703367,kpop
120,120,-63.0,0.13262572842672704,kpop
121,121,-62.0,0.13708022032458506,kpop
122,122,-61.0,0.1361331876114363,kpop
123,123,-60.0,0.14291448117812738,kpop
124,124,-59.0,0.14563985885032849,kpop
125,125,-58.0,0.14118545390102938,kpop
126,126,-57.0,0.1376417769312843,kpop
127,127,-56.0,0.13958957556154594,kpop
128,128,-55.0,0.13928735950041493,kpop
129,129,-54.0,0.138825813070427,kpop
130,130,-53.0,0.13364891525525052,kpop
131,131,-52.0,0.12471085636444909,kpop
132,132,-51.0,0.12793033371035661,kpop
133,133,-50.0,0.1242003090294698,kpop
134,134,-49.0,0.1250968653802713,kpop
135,135,-48.0,0.13033973042125235,kpop
136,136,-47.0,0.12852526794463115,kpop
137,137,-46.0,0.1282741600651095,kpop
138,138,-45.0,0.13191354990120732,kpop
139,139,-44.0,0.1286328992348604,kpop
140,140,-43.0,0.13226328429230524,kpop
141,141,-42.0,0.1324673750114927,kpop
142,142,-41.0,0.12678777258911586,kpop
143,143,-40.0,0.12969711008513946,kpop
144,144,-39.0,0.12935787241021343,kpop
145,145,-38.0,0.12764581437943184,kpop
146,146,-37.0,0.1306396299144349,kpop
147,147,-36.0,0.12710555059764603,kpop
148,148,-35.0,0.11937750117303646,kpop
149,149,-34.0,0.11662187715492688,kpop
150,150,-33.0,0.11484240321640218,kpop
151,151,-32.0,0.11151858264584812,kpop
152,152,-31.0,0.11486659441914691,kpop
153,153,-30.0,0.11670802171307892,kpop
154,154,-29.0,0.12070744912316728,kpop
155,155,-28.0,0.12911929038653014,kpop
156,156,-27.0,0.13217718372746767,kpop
157,157,-26.0,0.13107655399307197,kpop
158,158,-25.0,0.13406351409199924,kpop
159,159,-24.0,0.12815578630286578,kpop
160,160,-23.0,0.12227787549742189,kpop
161,161,-22.0,0.12465579960154728,kpop
162,162,-21.0,0.12191326825169804,kpop
163,163,-20.0,0.11825339550587283,kpop
164,164,-19.0,0.11769069191084008,kpop
165,165,-18.0,0.12381516017024549,kpop
166,166,-17.0,0.1310034367649635,kpop
167,167,-16.0,0.1334096608020846,kpop
168,168,-15.0,0.12727572135763285,kpop
169,169,-14.0,0.12609732586170297,kpop
170,170,-13.0,0.12599999883266802,kpop
171,171,-12.0,0.1277103076353686,kpop
172,172,-11.0,0.12418422764479269,kpop
173,173,-10.0,0.12051979166931323,kpop
174,174,-9.0,0.12377195206603495,kpop
175,175,-8.0,0.1309149039108451,kpop
176,176,-7.0,0.1314112631647297,kpop
177,177,-6.0,0.13756883040966136,kpop
178,178,-5.0,0.13474226989976457,kpop
179,179,-4.0,0.13089543304960555,kpop
180,180,-3.0,0.13160195269996072,kpop
181,181,-2.0,0.12992873810227737,kpop
182,182,-1.0,0.1253859495416578,kpop
