days_cancel,id,toxicity,severe_toxicity,insult,profanity,group
-184,1.370601537616846e+18,0.3010394822792711,0.20079642613439638,0.2493452547432802,0.24468172226218673,misinfo
-182,1.3710577098149816e+18,0.29954489288232156,0.19576082946656664,0.25550788797775714,0.24386833899339402,misinfo
-179,1.371513882013117e+18,0.29805030348537204,0.19072523279873693,0.2493452547432802,0.2430549557246013,misinfo
-177,1.3719639665502188e+18,0.28944736082524236,0.1855686353561209,0.24353973229856934,0.2342013854422042,misinfo
-174,1.3724140510873203e+18,0.2808444181651127,0.18041203791350485,0.2377342098538585,0.22534781515980712,misinfo
-172,1.3728792779731953e+18,0.27756656685907455,0.17870976128468757,0.23177537336721263,0.2251872745777781,misinfo
-169,1.373785061089263e+18,0.27013920651164974,0.17509241100571285,0.22441266505079926,0.22042892062069191,misinfo
-167,1.3746887694291763e+18,0.27013920651164974,0.17509241100571285,0.22441266505079926,0.22042892062069191,misinfo
-164,1.3755939287562422e+18,0.2734170578176879,0.17679468763453016,0.23000315237464636,0.22058946120272094,misinfo
-162,1.3764986810934825e+18,0.2651536501309993,0.17306652708852144,0.22089603902649096,0.21828509507157776,misinfo
-159,1.3774031833774316e+18,0.2651536501309993,0.17306652708852144,0.22089603902649096,0.21828509507157776,misinfo
-157,1.3783121637211187e+18,0.2732198549885345,0.17724080622097776,0.2285767748227824,0.22440507117209368,misinfo
-154,1.3792210680098831e+18,0.28111873843634744,0.18156849044120454,0.23557113397639695,0.23020029464517366,misinfo
-152,1.380120654610877e+18,0.28111873843634744,0.18156849044120454,0.23557113397639695,0.23020029464517366,misinfo
-149,1.3810265107160663e+18,0.28111873843634744,0.18156849044120454,0.2367254112876546,0.23020029464517366,misinfo
-147,1.381936688000749e+18,0.2862422993143114,0.1866823898399115,0.2405369819248587,0.2336595117863489,misinfo
-144,1.3828471136720264e+18,0.29056631421523454,0.1918401061787029,0.24201185107743534,0.23818529024832255,misinfo
-142,1.3837567205837548e+18,0.29056631421523454,0.1918401061787029,0.24201185107743534,0.23818529024832255,misinfo
-139,1.3846558540811827e+18,0.29056631421523454,0.1918401061787029,0.24201185107743534,0.23818529024832255,misinfo
-137,1.385556287681889e+18,0.2817837221028211,0.1857312042332665,0.23148502066652948,0.23425624347392038,misinfo
-134,1.3864629564350254e+18,0.2720636139301127,0.17887040866881104,0.2244752579404632,0.23050820718653942,misinfo
-132,1.3873694734414676e+18,0.267785566716777,0.17481085604163604,0.21961296044921813,0.2236274194920586,misinfo
-129,1.3882779911805138e+18,0.26335289539707407,0.1693206171288803,0.21540119958583337,0.2194559789053464,misinfo
-127,1.389185428151869e+18,0.267785566716777,0.17481085604163604,0.21961296044921813,0.2236274194920586,misinfo
-124,1.3901028573820344e+18,0.267785566716777,0.17481085604163604,0.2228860747555636,0.22331813120130123,misinfo
-122,1.391007293146241e+18,0.27370322128410574,0.17930507867516524,0.22786690408710492,0.22718413286349776,misinfo
-119,1.3918989986496591e+18,0.27056651290301037,0.17568938737212048,0.22300460659585986,0.22331813120130123,misinfo
-117,1.3927960297918523e+18,0.2617648309005501,0.1691324628748901,0.21829695466696136,0.2191147670049028,misinfo
-114,1.3936980945602929e+18,0.2795584133568627,0.18389501915802758,0.232515445855235,0.2310685927484512,misinfo
-112,1.3946130457663834e+18,0.26573214372544035,0.1726225508289031,0.22005450546505473,0.22167738164544726,misinfo
