,index,days_cancel,insult,group
4,4,-182.0,0.2022890168554208,female
5,5,-181.0,0.2022890168554208,female
6,6,-180.0,0.2022890168554208,female
7,7,-179.0,0.2022890168554208,female
8,8,-178.0,0.20115428805908797,female
9,9,-177.0,0.20115428805908797,female
10,10,-176.0,0.20115428805908797,female
11,11,-175.0,0.1953192978748982,female
12,12,-174.0,0.1953192978748982,female
13,13,-173.0,0.19495605899424506,female
14,14,-172.0,0.19136091816214346,female
15,15,-171.0,0.19136091816214346,female
16,16,-170.0,0.1840540592088931,female
17,17,-169.0,0.1840540592088931,female
18,18,-168.0,0.18522772431469745,female
19,19,-167.0,0.18522772431469745,female
20,20,-166.0,0.18522772431469745,female
21,21,-165.0,0.19410564028105604,female
22,22,-164.0,0.19410564028105604,female
23,23,-163.0,0.19528637561401532,female
24,24,-162.0,0.1958766658368655,female
25,25,-161.0,0.1958766658368655,female
26,26,-160.0,0.2050391931102526,female
27,27,-159.0,0.2050391931102526,female
28,28,-158.0,0.2050391931102526,female
29,29,-157.0,0.2050391931102526,female
30,30,-156.0,0.2050391931102526,female
31,31,-155.0,0.20320517035636781,female
32,32,-154.0,0.20320517035636781,female
33,33,-153.0,0.20320517035636781,female
34,34,-152.0,0.20320517035636781,female
35,35,-151.0,0.20320517035636781,female
36,36,-150.0,0.19439111742591164,female
37,37,-149.0,0.19439111742591164,female
38,38,-148.0,0.19439111742591164,female
39,39,-147.0,0.19461995090482134,female
40,40,-146.0,0.19461995090482134,female
41,41,-145.0,0.2002715750519566,female
42,42,-144.0,0.2002715750519566,female
43,43,-143.0,0.20389013351607754,female
44,44,-142.0,0.20701715297356904,female
45,45,-141.0,0.20701715297356904,female
46,46,-140.0,0.216377454503937,female
47,47,-139.0,0.2140084761455169,female
48,48,-138.0,0.216377454503937,female
49,49,-137.0,0.2176492785653969,female
50,50,-136.0,0.2176492785653969,female
51,51,-135.0,0.2176492785653969,female
52,52,-134.0,0.21891988432321458,female
53,53,-133.0,0.2176492785653969,female
54,54,-132.0,0.21506815278237174,female
55,55,-131.0,0.2122911136247598,female
56,56,-130.0,0.19245895818524533,female
57,57,-129.0,0.19245895818524533,female
58,58,-128.0,0.18308675728001256,female
59,59,-127.0,0.17862693093589754,female
60,60,-126.0,0.17862693093589754,female
61,61,-125.0,0.1833245039109912,female
62,62,-124.0,0.1833245039109912,female
63,63,-123.0,0.19366843108723641,female
64,64,-122.0,0.19830275650464302,female
65,65,-121.0,0.19830275650464302,female
66,66,-120.0,0.21508281717442873,female
67,67,-119.0,0.21508281717442873,female
68,68,-118.0,0.2154738109805589,female
69,69,-117.0,0.2154738109805589,female
70,70,-116.0,0.2154738109805589,female
71,71,-115.0,0.2154738109805589,female
72,72,-114.0,0.2154738109805589,female
73,73,-113.0,0.2138956799636006,female
74,74,-112.0,0.20738072204513774,female
75,75,-111.0,0.20738072204513774,female
76,76,-110.0,0.2049712947328365,female
77,77,-109.0,0.2049712947328365,female
78,78,-108.0,0.2049712947328365,female
79,79,-107.0,0.20479337319194002,female
80,80,-106.0,0.20479337319194002,female
81,81,-105.0,0.20478562110919563,female
82,82,-104.0,0.20478562110919563,female
83,83,-103.0,0.19991600963972317,female
84,84,-102.0,0.1957338765450241,female
85,85,-101.0,0.1957338765450241,female
86,86,-100.0,0.19574455490435425,female
87,87,-99.0,0.19574455490435425,female
88,88,-98.0,0.19574455490435425,female
89,89,-97.0,0.19574455490435425,female
90,90,-96.0,0.19574455490435425,female
91,91,-95.0,0.20026050681261232,female
92,92,-94.0,0.20026050681261232,female
93,93,-93.0,0.2028356198162069,female
94,94,-92.0,0.2028356198162069,female
95,95,-91.0,0.2028356198162069,female
96,96,-90.0,0.2028356198162069,female
97,97,-89.0,0.2028356198162069,female
98,98,-88.0,0.2026896749998632,female
99,99,-87.0,0.20006591267141632,female
100,100,-86.0,0.20006591267141632,female
101,101,-85.0,0.19090327622005304,female
102,102,-84.0,0.19090327622005304,female
103,103,-83.0,0.19067460167407793,female
104,104,-82.0,0.19067460167407793,female
105,105,-81.0,0.19067460167407793,female
106,106,-80.0,0.1919311271470982,female
107,107,-79.0,0.1919311271470982,female
108,108,-78.0,0.19297878636210397,female
109,109,-77.0,0.19297878636210397,female
110,110,-76.0,0.19297878636210397,female
111,111,-75.0,0.19297878636210397,female
112,112,-74.0,0.19297878636210397,female
113,113,-73.0,0.18769246403224332,female
114,114,-72.0,0.18688549377047514,female
115,115,-71.0,0.18688549377047514,female
116,116,-70.0,0.1903306390500934,female
117,117,-69.0,0.1903306390500934,female
118,118,-68.0,0.1910108266448965,female
119,119,-67.0,0.192549914010676,female
120,120,-66.0,0.192549914010676,female
121,121,-65.0,0.192549914010676,female
122,122,-64.0,0.192549914010676,female
123,123,-63.0,0.192549914010676,female
124,124,-62.0,0.1953744568413716,female
125,125,-61.0,0.1953744568413716,female
126,126,-60.0,0.1953744568413716,female
127,127,-59.0,0.1953744568413716,female
128,128,-58.0,0.1953744568413716,female
129,129,-57.0,0.19304858831895677,female
130,130,-56.0,0.19304858831895677,female
131,131,-55.0,0.19304858831895677,female
132,132,-54.0,0.19304858831895677,female
133,133,-53.0,0.19304858831895677,female
134,134,-52.0,0.1908560934592888,female
135,135,-51.0,0.1908560934592888,female
136,136,-50.0,0.19471689369190076,female
137,137,-49.0,0.19471689369190076,female
138,138,-48.0,0.19471689369190076,female
139,139,-47.0,0.19617724913344203,female
140,140,-46.0,0.19617724913344203,female
141,141,-45.0,0.1997096350548241,female
142,142,-44.0,0.1997096350548241,female
143,143,-43.0,0.1997096350548241,female
144,144,-42.0,0.2005094201382881,female
145,145,-41.0,0.2005094201382881,female
146,146,-40.0,0.2005094201382881,female
147,147,-39.0,0.2005094201382881,female
148,148,-38.0,0.2005094201382881,female
149,149,-37.0,0.1977604838107911,female
150,150,-36.0,0.1977604838107911,female
151,151,-35.0,0.19651632111140097,female
152,152,-34.0,0.19651632111140097,female
153,153,-33.0,0.19144731217158228,female
154,154,-32.0,0.186626038042691,female
155,155,-31.0,0.186626038042691,female
156,156,-30.0,0.19251306045993508,female
157,157,-29.0,0.19251306045993508,female
158,158,-28.0,0.19682983320388525,female
159,159,-27.0,0.20103357310156517,female
160,160,-26.0,0.20103357310156517,female
161,161,-25.0,0.20103357310156517,female
162,162,-24.0,0.20103357310156517,female
163,163,-23.0,0.20103357310156517,female
164,164,-22.0,0.19291576034531444,female
165,165,-21.0,0.19291576034531444,female
166,166,-20.0,0.19569569974189707,female
167,167,-19.0,0.19569569974189707,female
168,168,-18.0,0.1970425942525003,female
169,169,-17.0,0.1970425942525003,female
170,170,-16.0,0.1970425942525003,female
171,171,-15.0,0.2069423177876741,female
172,172,-14.0,0.2069423177876741,female
173,173,-13.0,0.21313326552263184,female
174,174,-12.0,0.21587045535964,female
175,175,-11.0,0.21717044693659895,female
176,176,-10.0,0.22387719379474055,female
177,177,-9.0,0.22739806596113935,female
178,178,-8.0,0.22739806596113935,female
179,179,-7.0,0.22739806596113935,female
180,180,-6.0,0.2324323759636565,female
181,181,-5.0,0.22519010730231603,female
182,182,-4.0,0.22519010730231603,female
183,183,-3.0,0.22275388335686896,female
184,184,-2.0,0.23536572148662405,female
185,185,-1.0,0.23536572148662405,female
186,186,0.0,0.24534856652135043,female
187,187,1.0,0.259679222680751,female
188,188,2.0,0.2621903445747434,female
189,189,3.0,0.2779744915774374,female
190,190,4.0,0.2813152628388641,female
191,191,5.0,0.2813152628388641,female
192,192,6.0,0.2813152628388641,female
